Zip Code,Lat,Long
91361,34.130992,-118.894673
91362,34.191842,-118.822796
91364,34.153733,-118.593408
91367,34.178068,-118.615714
91371,34.1683,-118.6059
91377,34.19225,-118.776874
91381,34.364153,-118.615583
91384,34.506627,-118.699048
91387,34.4132,-118.426
91390,34.4684,-118.5261
91401,34.178483,-118.431791
91402,34.223768,-118.445461
91403,34.147149,-118.463365
91405,34.202494,-118.448048
91406,34.195685,-118.490752
91411,34.17847,-118.459472
91423,34.146957,-118.432138
91436,34.152875,-118.486056
91501,34.188339,-118.300942
91502,34.177267,-118.31003
91504,34.213049,-118.317651
91505,34.174215,-118.345928
91506,34.169706,-118.323548
91521,34.1808,-118.309
91522,34.1808,-118.309
91523,34.1808,-118.309
91601,34.1692,-118.372498
91602,34.15136,-118.364786
91604,34.139082,-118.39275
91605,34.207295,-118.400022
91606,34.187599,-118.387125
91607,34.165783,-118.399795
91608,34.1383,-118.3528
91701,34.132275,-117.611478
91702,34.174493,-117.87068
91706,34.098275,-117.967399
91708,33.954,-117.6404
91709,33.942895,-117.725644
91710,33.990646,-117.663025
91711,34.127621,-117.717863
91722,34.097345,-117.906736
91723,34.084747,-117.886844
91724,34.08111,-117.853935
91730,34.10097,-117.57882
91731,34.079934,-118.046695
91732,34.074492,-118.01462
91733,34.04622,-118.053753
91737,34.245289,-117.642503
91739,34.133809,-117.523724
91740,34.119363,-117.855059
91741,34.14649,-117.849815
91744,34.031441,-117.936436
91745,33.998471,-117.973758
91746,34.038983,-117.991372
91748,33.976753,-117.897367
91750,34.144703,-117.770299
91752,33.999992,-117.535395
91754,34.050322,-118.147037
91755,34.049172,-118.115022
91759,34.231318,-117.662032
91761,34.035602,-117.591528
91762,34.057256,-117.667677
91763,34.072121,-117.698319
91764,34.074087,-117.605618
91765,33.992416,-117.807874
91766,34.042286,-117.756106
91767,34.083086,-117.737997
91768,34.067932,-117.785168
91770,34.065108,-118.082791
91773,34.102119,-117.815532
91775,34.114772,-118.089431
